"","ResponseId","Employment","LearnCode","YearsCode","Gender","WorkExp","EdLevel","Country","Age","Ethnicity"
"9",9,"Employed","Bootcamp","6","Woman",6,"Master's degree","Netherlands","25-34 years old","European"
"12",12,"Employed","Online Course","12","Man",14,"Bachelor degree","United States of America","35-44 years old","White"
"13",13,"Employed","University","12","Man",5,"Bachelor degree","United States of America","25-34 years old","White"
"14",14,"Employed","University","22","Woman",15,"Bachelor degree","Australia","35-44 years old","White"
"15",15,"Employed","University","11","Man",5,"Master's degree","United States of America","25-34 years old","White"
"22",22,"Employed","Other","5","Man",4,"Master's degree","Italy","25-34 years old","European"
"23",23,"Employed","Other","25","Man",23,"Other","Canada","35-44 years old","Multiracial"
"26",26,"Employed","University","16","Man",9,"Master's degree","Germany","25-34 years old","Multiracial"
"29",29,"Employed","University","20","Man",14,"Master's degree","United States of America","35-44 years old","Multiracial"
"30",30,"Employed","Online Course","27","Man",22,"Master's degree","Ireland","45-54 years old","White"
"32",32,"Employed","Online Course","24","Man",21,"Bachelor degree","United States of America","55-64 years old","Multiracial"
"35",35,"Other","University","6","Man",6,"Master's degree","Poland","25-34 years old","European"
"37",37,"Employed","University","12","Man",5,"Bachelor degree","Canada","25-34 years old","Multiracial"
"42",42,"Employed","Online Course","3","Man",3,"Secondary school","Israel","18-24 years old","Multiracial"
"46",46,"Employed","Online Course","4","Man",3,"Master's degree","Madagascar","25-34 years old","African"
"48",48,"Employed","University","6","Woman",5,"Bachelor degree","United States of America","25-34 years old","Multiracial"
"49",49,"Employed","University","40","Man",28,"Other","Germany","55-64 years old","European"
"50",50,"Employed","University","7","Man",7,"Secondary school","Germany","25-34 years old","Multiracial"
"51",51,"Employed","University","11","Man",4,"Master's degree","Czech Republic","25-34 years old","Multiracial"
"52",52,"Employed","University","7","Man",3,"Bachelor degree","Poland","25-34 years old","Multiracial"
"54",54,"Employed","University","15","Man",12,"Bachelor degree","United States of America","25-34 years old","Multiracial"
"55",55,"Employed","University","12","Man",7,"Bachelor degree","Norway","25-34 years old","White"
"56",56,"Employed","University","9","Woman",5,"Master's degree","United States of America","25-34 years old","Multiracial"
"57",57,"Employed","University","8","Man",3,"Bachelor degree","Taiwan","25-34 years old","Multiracial"
"58",58,"Employed","University","16","Man",8,"Bachelor degree","Netherlands","25-34 years old","European"
"59",59,"Employed","Online Course","10","Man",6,"Master's degree","Hong Kong (S.A.R.)","25-34 years old","Asian"
"60",60,"Employed","University","4","Woman",2,"Bachelor degree","Germany","25-34 years old","European"
"61",61,"Employed","University","17","Man",4,"Bachelor degree","Canada","25-34 years old","Multiracial"
